title,type,year,choreographer,aka,akac,label
Geshem Sheyavo,Partner,2018,Maurice Perez,Geshem Sheyavo,Maurice Perez,Geshem Sheyavo
Geshem Yored,Partner,1977,Eli Ronen,Geshem Yored,Eli Ronen,Geshem Yored
Gesher Tsar Meod,Circle,1984,Shlomo Maman,Gesher Tsar Meod,Shlomo Maman,Gesher Tsar Meod
Get Funky,Line,1900,Yaron Medan,Get Funky,Yaron Medan,Get Funky
Get Lucky,Line,2016,Frederic Lerouge,Get Lucky,Frederic Lerouge,Get Lucky
Geula,Circle,2011,Rafi Ziv,Geula,Rafi Ziv,Geula
Ge'ula,Circle,2019,Oren Ashkenazi; Eli Segal,Geula,Oren Ashkenazi Eli Segal,Ge'ula
Geulim (Esheal Elohay),Partner,1970,Yankale Levy,Geulim Esheal Elohay,Yankale Levy,Geulim (Esheal Elohay)
Gever Lalaila (A Man After Midnight),Line,1992,Yehudit Shushan,Gever Lalaila A Man After Midnight,Yehudit Shushan,Gever Lalaila (A Man After Midnight)
Gever Le'enyan,Partner,1998,Nona Malki,Gever Leenyan,Nona Malki,Gever Le'enyan
Gever Meshuchrar,Partner,2011,Avi Perez,Gever Meshuchrar,Avi Perez,Gever Meshuchrar
Gever Mishtageah,Circle,2001,Yaron Malihi,Gever Mishtageah,Yaron Malihi,Gever Mishtageah
Geveret Megunderet,Circle,1993,Beber Shushan,Geveret Megunderet,Beber Shushan,Geveret Megunderet
Gibor,Circle,2010,Eli Rachamim,Gibor,Eli Rachamim,Gibor
Gibor Shel Ahava,Circle,2004,Israel Shiker,Gibor Shel Ahava,Israel Shiker,Gibor Shel Ahava
Gibor Shel Ima (Go'el Shel Ima),Circle,2014,Avi Levy; Dudu Barzilay,Gibor Shel Ima Goel Shel Ima,Avi Levy Dudu Barzilay,Gibor Shel Ima (Go'el Shel Ima)
Gigolo,Circle,2017,Oren Bachar,Gigolo,Oren Bachar,Gigolo
Gilu Hagalilim,Circle,1969,Yo'av Ashriel,Gilu Hagalilim,Yoav Ashriel,Gilu Hagalilim
Gitarah Kilvavi (Kochvei Laila),Partner,1992,Ya'ir Menashe,Gitarah Kilvavi Kochvei Laila,Yair Menashe,Gitarah Kilvavi (Kochvei Laila)
Givah Achat,Circle,2009,Rafi Ziv,Givah Achat,Rafi Ziv,Givah Achat
Givat Chalfon,Circle,2013,Shlomi Ochayon,Givat Chalfon,Shlomi Ochayon,Givat Chalfon
Givat Hakurkar,Circle,1998,Moshe Telem,Givat Hakurkar,Moshe Telem,Givat Hakurkar
Go Go Go (The Cup of Life),Line,1998,Avi Levy; Gadi Bitton,Go Go Go The Cup of Life,Avi Levy Gadi Bitton,Go Go Go (The Cup of Life)
Goblin,Circle,2011,Tamir Shalev,Goblin,Tamir Shalev,Goblin
Gogli Gogli,Partner,1973,Yo'av Ashriel,Gogli Gogli,Yoav Ashriel,Gogli Gogli
Going Down To Cairo,Line,1986,Menahem Menachem,Going Down To Cairo,Menahem Menachem,Going Down To Cairo
Golani Sheli,Circle,1988,Yehuda Emanuel,Golani Sheli,Yehuda Emanuel,"Golani Sheli (Circle, Yehuda Emanuel)"
Golani Sheli,Circle,2014,Gadi Bitton,Golani Sheli,Gadi Bitton,"Golani Sheli (Circle, Gadi Bitton)"
Golden Boy,Line,2015,Gadi Bitton,Golden Boy,Gadi Bitton,Golden Boy (Line)
Golden Boy,Line;Kids,2015,Levi Bargil,Golden Boy,Levi Bargil,Golden Boy (Line;Kids)
Goleh Gandom - Perach Hachita,Circle,2017,Sagi Azran,Goleh Gandom  Perach Hachita,Sagi Azran,Goleh Gandom - Perach Hachita
Gonev Halevavot (Thief ofHearts),Line,1992,Dede Luski,Gonev Halevavot Thief ofHearts,Dede Luski,Gonev Halevavot (Thief ofHearts)
Goral Echad,Circle,2002,Shmulik Gov Ari,Goral Echad,Shmulik Gov Ari,Goral Echad
Gordonia,Partner,1992,Pioneer,Gordonia,Pioneer,Gordonia
Goren (Hagoren),Circle,1942,Rivka Sturman,Goren Hagoren,Rivka Sturman,Goren (Hagoren)
Gozi Li,Partner,1949,Yonatan Karmon,Gozi Li,Yonatan Karmon,Gozi Li
Grease (You're the one that I want),Line,1992,Yaron Medan; Dede Luski,Grease Youre the one that I want,Yaron Medan Dede Luski,Grease (You're the one that I want)
Greenfields,Partner,2014,Gila Paz,Greenfields,Gila Paz,Greenfields
Guns (Gangsters) Paradise,Line,1996,Levi Bargil,Guns Gangsters Paradise,Levi Bargil,Guns (Gangsters) Paradise
Gvanim,Circle,1978,Shlomo Maman,Gvanim,Shlomo Maman,Gvanim
Gvulot Higayon,Partner,2011,Eran Bitton,Gvulot Higayon,Eran Bitton,Gvulot Higayon
Ha'achat,Partner,2011,Naftaly Kadosh,Haachat,Naftaly Kadosh,Ha'achat
Ha'achat Mibein Kulan,Partner,2013,Itzik Ben Dahan,Haachat Mibein Kulan,Itzik Ben Dahan,Ha'achat Mibein Kulan
Ha'agurim,Circle,1992,Avi Perez,Haagurim,Avi Perez,Ha'agurim
Ha'ahat sheli,Partner,2010,Yossi Azani,Haahat sheli,Yossi Azani,Ha'ahat sheli
Haahava Haatsuva Hakeuva,Circle,2016,Rafi Ziv,Haahava Haatsuva Hakeuva,Rafi Ziv,Haahava Haatsuva Hakeuva
Ha'ahava Hayeshana,Partner,1999,Gadi Bitton,Haahava Hayeshana,Gadi Bitton,"Ha'ahava Hayeshana (Partner, Gadi Bitton)"
Ha'ahava Hayeshana,Partner,2004,Roni Siman Tov,Haahava Hayeshana,Roni Siman Tov,"Ha'ahava Hayeshana (Partner, Roni Siman Tov)"
Ha'ahava Hi Elohit,Circle,1999,Amnon Amram,Haahava Hi Elohit,Amnon Amram,Ha'ahava Hi Elohit
Ha'ahava Sheli,Partner,2005,Gadi Bitton,Haahava Sheli,Gadi Bitton,Ha'ahava Sheli
Ha'ahava Shelo Zoat Lo Hahava Sheli,Partner,1900,Raanan Mor,Haahava Shelo Zoat Lo Hahava Sheli,Raanan Mor,Ha'ahava Shelo Zoat Lo Hahava Sheli
Ha'ahavot Hayeshanot,Partner,2004,Ayelet Bukai,Haahavot Hayeshanot,Ayelet Bukai,Ha'ahavot Hayeshanot
Ha'alma,Partner,1988,Shlomo Maman,Haalma,Shlomo Maman,Ha'alma
Ha'alma (Hayo Hayta Alma),Partner,1900,Sefi Aviv,Haalma Hayo Hayta Alma,Sefi Aviv,Ha'alma (Hayo Hayta Alma)
Ha'amini Yom Yavo,Circle,1989,Moshe Tawily,Haamini Yom Yavo,Moshe Tawily,"Ha'amini Yom Yavo (Circle, Moshe Tawily)"
Ha'amini Yom Yavo,Circle,1997,Yoni Carr,Haamini Yom Yavo,Yoni Carr,"Ha'amini Yom Yavo (Circle, Yoni Carr)"
Ha'amiti,Circle,2007,Oren Shmuel,Haamiti,Oren Shmuel,Ha'amiti
Ha'arets Hamuvtachat,Circle,2001,Boaz Cohen,Haarets Hamuvtachat,Boaz Cohen,Ha'arets Hamuvtachat
Ha'arpad (Danca Do Vampiro),Line,2000,Unknown,Haarpad Danca Do Vampiro,Unknown,Ha'arpad (Danca Do Vampiro)
Ha'asir,Circle,1900,Amnon Amram,Haasir,Amnon Amram,Ha'asir
Ha'aviv,Partner,1991,Itzik Sa'ada,Haaviv,Itzik Saada,Ha'aviv
Ha'aviv Tsochek (Aviv Tsochek),Circle,2007,Matti Goldschmidt,Haaviv Tsochek Aviv Tsochek,Matti Goldschmidt,Ha'aviv Tsochek (Aviv Tsochek)
Ha'ayara,Partner,2001,Barry Avidan,Haayara,Barry Avidan,Ha'ayara
Ha'ayara Shel Tuvia,Circle,2011,Victor Gabbay,Haayara Shel Tuvia,Victor Gabbay,Ha'ayara Shel Tuvia
Ha'ayara Sheli,Circle,2009,Kobi Michaeli,Haayara Sheli,Kobi Michaeli,Ha'ayara Sheli
Haba'al Shem Tov,Circle,2003,Meir Shem Tov,Habaal Shem Tov,Meir Shem Tov,Haba'al Shem Tov
Habachur Habaishan (Bachur Baishan),Circle,2012,Dudu Barzilay,Habachur Habaishan Bachur Baishan,Dudu Barzilay,Habachur Habaishan (Bachur Baishan)
Habaita,Circle,2014,Ilan Swisa,Habaita,Ilan Swisa,Habaita
Habaita Haloch Chazor,Circle,2011,Gadi Bitton,Habaita Haloch Chazor,Gadi Bitton,Habaita Haloch Chazor
Habaita Lachazor,Partner,1997,Naftaly Kadosh,Habaita Lachazor,Naftaly Kadosh,Habaita Lachazor
Habalada Al Yoel Moshe Solomon,Circle,2008,Tuvia Tishler,Habalada Al Yoel Moshe Solomon,Tuvia Tishler,Habalada Al Yoel Moshe Solomon
Habat Shel Hashchena,Circle,2005,Rafi Ziv,Habat Shel Hashchena,Rafi Ziv,Habat Shel Hashchena
Habatim Shenigmeru Leyad,Circle,1985,Shmulik Gov Ari,Habatim Shenigmeru Leyad,Shmulik Gov Ari,Habatim Shenigmeru Leyad
Haben Yakir Li,Circle,1998,Nir Dor,Haben Yakir Li,Nir Dor,Haben Yakir Li
Habet Bi Ahuvi,Partner,1988,Itzik Sa'ada,Habet Bi Ahuvi,Itzik Saada,Habet Bi Ahuvi
Habib Galbi,Circle,2018,Rafi Ziv,Habib Galbi,Rafi Ziv,Habib Galbi
Habibi Ya Le Le,Line,2015,Dede Luski,Habibi Ya Le Le,Dede Luski,Habibi Ya Le Le
Habilbul,Line,1991,Yaron Medan,Habilbul,Yaron Medan,Habilbul (Line)
Habilbul,Partner,1992,Beber Shushan; Yuhudit Shushan,Habilbul,Beber Shushan Yuhudit Shushan,Habilbul (Partner)
Habiti Mi Chazar,Partner,1986,Chayim Shiryon,Habiti Mi Chazar,Chayim Shiryon,Habiti Mi Chazar
Haboker (Haboker at Holechet),Partner,1996,Chayim Vaknin,Haboker Haboker at Holechet,Chayim Vaknin,Haboker (Haboker at Holechet)
Haboker Ya'ale,Circle,2019,Danielle Shkop,Haboker Yaale,Danielle Shkop,Haboker Ya'ale
Habozuki,Line,1994,Shlomi Nagarin,Habozuki,Shlomi Nagarin,Habozuki
Hach Baregel,,1977, ,Hach Baregel, ,Hach Baregel
Hachagiga Nigmeret,Line;Kids,2018,Levi Bar Gil,Hachagiga Nigmeret,Levi Bar Gil,Hachagiga Nigmeret
Hachalom Sheli,,2001,Victor Gabbay,Hachalom Sheli,Victor Gabbay,Hachalom Sheli
Ha'Chamtsan Sheli (Chamtsan),Partner,2013,Nona Malki,HaChamtsan Sheli Chamtsan,Nona Malki,Ha'Chamtsan Sheli (Chamtsan)
Hachaticha Merechov Panorama (Rechov Panorama),Partner,1987,Roni Siman Tov,Hachaticha Merechov Panorama Rechov Panorama,Roni Siman Tov,Hachaticha Merechov Panorama (Rechov Panorama)
Hachatuna,Circle,1978,Yehuda Emanuel,Hachatuna,Yehuda Emanuel,Hachatuna (Circle)
Hachatuna,Partner,1971,Yankale Levy,Hachatuna,Yankale Levy,Hachatuna (Partner)
Hachayal Sheli Chazar,Circle,1971,Rivka Sturman,Hachayal Sheli Chazar,Rivka Sturman,Hachayal Sheli Chazar
Hachayim,Circle,2010,Ohad Atia,Hachayim,Ohad Atia,Hachayim
Hachayim Ha'acherim,Circle,1995,Avi Perez,Hachayim Haacherim,Avi Perez,"Hachayim Ha'acherim (Circle, Avi Perez)"
Hachayim Ha'acherim,Circle,1995,Shmulik Gov Ari,Hachayim Haacherim,Shmulik Gov Ari,"Hachayim Ha'acherim (Circle, Shmulik Gov Ari)"
Hachayim Ha'acherim,Partner,1994,Yardena Leib,Hachayim Haacherim,Yardena Leib,Hachayim Ha'acherim (Partner)
Hachayim Hayafim,Circle,1988,Israel Shiker,Hachayim Hayafim,Israel Shiker,Hachayim Hayafim
Hachayim Hem Rikud,Partner,2016,Avi Amsalam,Hachayim Hem Rikud,Avi Amsalam,Hachayim Hem Rikud
Hachayim Lakchu Oti,Circle,2003,Yankale Ziv,Hachayim Lakchu Oti,Yankale Ziv,Hachayim Lakchu Oti
Hachayim Shelanu Tutim,,2016,Gadi Bitton,Hachayim Shelanu Tutim,Gadi Bitton,Hachayim Shelanu Tutim
Hachayim Yafim,Circle,2015,Ilan Benedict,Hachayim Yafim,Ilan Benedict,"Hachayim Yafim (Circle, Ilan Benedict)"
Hachayim Yafim,Circle,2001,Rafi Ziv,Hachayim Yafim,Rafi Ziv,"Hachayim Yafim (Circle, Rafi Ziv)"
Hachevrah Lehaganat Hateva,Circle,2006,Gadi Bitton,Hachevrah Lehaganat Hateva,Gadi Bitton,Hachevrah Lehaganat Hateva
Hachi Israeli,Line,2015,Yaron Elfasy,Hachi Israeli,Yaron Elfasy,Hachi Israeli
Hachi Karov,Partner,2013,Gadi Bitton,Hachi Karov,Gadi Bitton,Hachi Karov
Hachi Karov Elayich,Circle,2019,Andre Schor; Arthur Lerer,Hachi Karov Elayich,Andre Schor Arthur Lerer,Hachi Karov Elayich
Hachi Rachok,Partner,2016,Yaron Malihi,Hachi Rachok,Yaron Malihi,Hachi Rachok
Hachi Tova Ba'olam,Partner,2011,Rafi Ziv,Hachi Tova Baolam,Rafi Ziv,Hachi Tova Ba'olam
Hachi Yafa,Partner,2008,Yaron Ben Simhon,Hachi Yafa,Yaron Ben Simhon,Hachi Yafa
Hachinanit,Partner,1970,Yankale Levy,Hachinanit,Yankale Levy,"Hachinanit (Partner, Yankale Levy)"
Hachinanit,Partner,1900,David Edery,Hachinanit,David Edery,"Hachinanit (Partner, David Edery)"
Hachita Tsomachat Shuv,Partner,2008,Pnina Dickman,Hachita Tsomachat Shuv,Pnina Dickman,Hachita Tsomachat Shuv
Hachiyuch Shebeinayich,Circle,2018,Boaz Cohen,Hachiyuch Shebeinayich,Boaz Cohen,Hachiyuch Shebeinayich
Hachlafot,U,1900, ,Hachlafot, ,Hachlafot
Hachnisini Tachat Knafech,Circle,2000,Itzchak Atira,Hachnisini Tachat Knafech,Itzchak Atira,Hachnisini Tachat Knafech (Circle)
Hachnisini Tachat Knafech,Partner,1979,Motti Elfasy,Hachnisini Tachat Knafech,Motti Elfasy,"Hachnisini Tachat Knafech (Partner, Motti Elfasy)"
Hachnisini Tachat Knafech,Partner,1999,Gadi Bitton,Hachnisini Tachat Knafech,Gadi Bitton,"Hachnisini Tachat Knafech (Partner, Gadi Bitton)"
Hachol Yizkor (Machol Yizkor),Circle,2009,Gadi Bitton,Hachol Yizkor Machol Yizkor,Gadi Bitton,Hachol Yizkor (Machol Yizkor)
Hacholmim Achar Hashemesh,Partner,1985,Israel Shiker,Hacholmim Achar Hashemesh,Israel Shiker,Hacholmim Achar Hashemesh
Hachoref Male Gaaguim,Circle,2016,Gadi Bitton,Hachoref Male Gaaguim,Gadi Bitton,Hachoref Male Gaaguim
Haci Bari,Partner,2011,Shlomo Maman,Haci Bari,Shlomo Maman,Haci Bari
Haci Karov,Circle,2012, ,Haci Karov, ,Haci Karov
Hada Lack Ya Binti,Circle,2016,Israel Yakovee,Hada Lack Ya Binti,Israel Yakovee,Hada Lack Ya Binti
Hadarim,Circle,1971,Shlomo Bachar,Hadarim,Shlomo Bachar,Hadarim (Circle)
Hadarim,Partner,1972,Bentzi Tiram,Hadarim,Bentzi Tiram,Hadarim (Partner)
Hadassah Esther,Partner,2000,Shmulik Gov Ari,Hadassah Esther,Shmulik Gov Ari,Hadassah Esther
Hadavar Ha'amiti,Partner,2005,Avi Perez,Hadavar Haamiti,Avi Perez,Hadavar Ha'amiti
Hadavar Haba,Line,2017,Elad Shtamer,Hadavar Haba,Elad Shtamer,Hadavar Haba
Hadayag,Partner,2018,Yaron Meishar,Hadayag,Yaron Meishar,Hadayag
Hadegel Sheli,Circle,1988,Shmulik Gov Ari,Hadegel Sheli,Shmulik Gov Ari,Hadegel Sheli
Haderech Aruka,Circle,2001,Dudu Barzilay,Haderech Aruka,Dudu Barzilay,Haderech Aruka (Circle)
Haderech Aruka,Partner,1964,Rivka Sturman,Haderech Aruka,Rivka Sturman,Haderech Aruka (Partner)
Haderech El Hakfar (Baderech El Hakfar),Circle,1986,David Ben David,Haderech El Hakfar Baderech El Hakfar,David Ben David,Haderech El Hakfar (Baderech El Hakfar)
Haderech Habaita,Circle,2005,Edo Israely,Haderech Habaita,Edo Israely,Haderech Habaita
Haderech Habrucha,U,1900, ,Haderech Habrucha, ,Haderech Habrucha
Haderech Hatovah (Nigudim),Circle,1995,Avner Naim,Haderech Hatovah Nigudim,Avner Naim,Haderech Hatovah (Nigudim)
Haderech Le'ey Sham,Partner,2002,Avner Naim,Haderech Leey Sham,Avner Naim,Haderech Le'ey Sham
Haderech Lelibech,Partner,2006,Israel Shiker,Haderech Lelibech,Israel Shiker,Haderech Lelibech
Haderech Mitmashechet,Circle,1998,Nir Dor,Haderech Mitmashechet,Nir Dor,Haderech Mitmashechet
Haderech Shelcha,Circle,2014,Avi Palvari,Haderech Shelcha,Avi Palvari,Haderech Shelcha
Hadimyon Sheli,Partner,2016,Rafi Ziv,Hadimyon Sheli,Rafi Ziv,Hadimyon Sheli
Hadmaot Shebe'enaich,Partner,2003,Avi Perez,Hadmaot Shebeenaich,Avi Perez,Hadmaot Shebe'enaich
Hadoda Vehadod (Etsel Hadoda Vehadod),Partner,2002,Meir Shem Tov,Hadoda Vehadod Etsel Hadoda Vehadod,Meir Shem Tov,Hadoda Vehadod (Etsel Hadoda Vehadod)
Hadorchim Baga'at,Circle,1982,Shlomo Maman,Hadorchim Bagaat,Shlomo Maman,Hadorchim Baga'at
Hadrat Chatanim,Circle,1989,Shmulik Gov Ari,Hadrat Chatanim,Shmulik Gov Ari,Hadrat Chatanim
Hadudaim,Partner,1966,Yankale Levy,Hadudaim,Yankale Levy,Hadudaim
Haduni,Circle,1985,Moshiko Halevy,Haduni,Moshiko Halevy,Haduni
Hadvarim Hachi Pshutim,Circle,2014,Gadi Bitton,Hadvarim Hachi Pshutim,Gadi Bitton,Hadvarim Hachi Pshutim
Hadwaja (Chadoza),Circle,1997,Oren Shmuel,Hadwaja Chadoza,Oren Shmuel,Hadwaja (Chadoza)
Ha'elim Hachadashim,Partner,2011,Nona Malki,Haelim Hachadashim,Nona Malki,Ha'elim Hachadashim
Ha'emek Hu Chalom,Circle,1980,Moshiko Halevy,Haemek Hu Chalom,Moshiko Halevy,"Ha'emek Hu Chalom (Circle, Moshiko Halevy)"
Ha'emek Hu Chalom,Circle,1900,David Edery,Haemek Hu Chalom,David Edery,"Ha'emek Hu Chalom (Circle, David Edery)"
Ha'ets Ha'atik,Circle,1991,Bentzi Tiram,Haets Haatik,Bentzi Tiram,Ha'ets Ha'atik
Ha'ets Hu Gavoha,Circle,2010,Tuvia Tishler,Haets Hu Gavoha,Tuvia Tishler,Ha'ets Hu Gavoha
Hafanana,Line,1980,Shalom Amar,Hafanana,Shalom Amar,Hafanana
Hafinali,Line,2003,Orly Setareh,Hafinali,Orly Setareh,"Hafinali (Line, Orly Setareh)"
Hafinali,Line,2004,Chanan Cohen,Hafinali,Chanan Cohen,"Hafinali (Line, Chanan Cohen)"
Hafinjan,Circle,1985,Shlomo Bachar,Hafinjan,Shlomo Bachar,Hafinjan (Circle)
Hafinjan,,1992,Yo'av Ashriel,Hafinjan,Yoav Ashriel,Hafinjan (0)
Hafla,Circle,1900,Maurice Perez,Hafla,Maurice Perez,Hafla
Hafla Parsit,Circle,2013,Barry Avidan,Hafla Parsit,Barry Avidan,Hafla Parsit
Hafuch,Circle,2017,Ohad Atia,Hafuch,Ohad Atia,Hafuch
Hafuchim,Line,2018,DJ Niedober,Hafuchim,DJ Niedober,Hafuchim
Hagadol Haze,Partner,2019,Roi Fridman; Rinat Rozen,Hagadol Haze,Roi Fridman Rinat Rozen,Hagadol Haze
Hagalshan,Circle,2002,Levi Bargil,Hagalshan,Levi Bargil,Hagalshan
Hagan Ha'Biladi,Partner,2003,Marco Ben Shimon,Hagan HaBiladi,Marco Ben Shimon,Hagan Ha'Biladi
Hagashashim,Partner,1970,Eliyahu Gamliel,Hagashashim,Eliyahu Gamliel,Hagashashim
Hagavi'a,Partner,1970,Danny Hayman,Hagavia,Danny Hayman,Hagavi'a
Hageshem,Circle,1988,Uri Grafit,Hageshem,Uri Grafit,Hageshem
Hageshem Be'eynayich,Partner,2002,Avi Perez,Hageshem Beeynayich,Avi Perez,Hageshem Be'eynayich
Hageshem Metofet,Partner,1992,Ya'ir Menashe,Hageshem Metofet,Yair Menashe,Hageshem Metofet
Hageula,Circle,1997,Moshiko Halevy,Hageula,Moshiko Halevy,Hageula
Hagitara,Partner,1992,Moshe Avisar,Hagitara,Moshe Avisar,Hagitara
Hagivah Porachat,Circle,1979,Bentzi Tiram,Hagivah Porachat,Bentzi Tiram,Hagivah Porachat
Hagolah Hashkula,Circle,1945,Gertrud Kraus,Hagolah Hashkula,Gertrud Kraus,Hagolah Hashkula
Hagshama Atsmit,Partner,2009,Gadi Bitton,Hagshama Atsmit,Gadi Bitton,Hagshama Atsmit
Hagvaot Hakchulot,Circle,1981,Yaakov Mariyoma,Hagvaot Hakchulot,Yaakov Mariyoma,Hagvaot Hakchulot (Circle)
Hagvaot Hakchulot,Partner,1986,Itzik Sa'ada,Hagvaot Hakchulot,Itzik Saada,Hagvaot Hakchulot (Partner)
Hagvarim Bochim Balaila,Circle,1991,Shlomo Maman,Hagvarim Bochim Balaila,Shlomo Maman,Hagvarim Bochim Balaila
Hagvul Hu Hashamayim,Circle,2013,Roberto Haddon,Hagvul Hu Hashamayim,Roberto Haddon,Hagvul Hu Hashamayim
Hahar Hayarok,Circle,1980,Bentzi Tiram,Hahar Hayarok,Bentzi Tiram,Hahar Hayarok
Hahatsaga Nigmeret,Partner,1999,Naftaly Kadosh,Hahatsaga Nigmeret,Naftaly Kadosh,Hahatsaga Nigmeret
Hahelech,Circle,1959,Moshiko Halevy,Hahelech,Moshiko Halevy,Hahelech
Hahilula Matchila,Partner,2003,Mali Lipson; Moshe,Hahilula Matchila,Mali Lipson Moshe,Hahilula Matchila
Hahipochonder,Circle,1992,Ya'ir Menashe,Hahipochonder,Yair Menashe,Hahipochonder
Hahora Habilti Tsfuyah,Circle,2005,Robin Starr,Hahora Habilti Tsfuyah,Robin Starr,Hahora Habilti Tsfuyah
Hahora Sheli,Circle,1995,Eli Ronen,Hahora Sheli,Eli Ronen,Hahora Sheli
Hai Li,Line,2006,Shmulik Gov Ari,Hai Li,Shmulik Gov Ari,Hai Li
Haidel Haidel,Circle,1997,Moshiko Halevy,Haidel Haidel,Moshiko Halevy,Haidel Haidel
Haifa,Circle,2008,Karina Lambert,Haifa,Karina Lambert,Haifa
Ha'ikar Romantika (Ha'ikar Zeh Haromantikah),Circle,2006,Adi Asulin,Haikar Romantika Haikar Zeh Haromantikah,Adi Asulin,Ha'ikar Romantika (Ha'ikar Zeh Haromantikah)
Ha'ikar She'ani Shar,Circle,2014,Oren Ashkenazi,Haikar Sheani Shar,Oren Ashkenazi,Ha'ikar She'ani Shar
Ha'im Amru Lach Pa'am,Partner,1984,Shlomo Maman,Haim Amru Lach Paam,Shlomo Maman,Ha'im Amru Lach Pa'am
Ha'im At Kan,Circle,2003,Avi Levy,Haim At Kan,Avi Levy,Ha'im At Kan
Haim Ata Ohev Oti,Circle,2010,Boaz Cohen,Haim Ata Ohev Oti,Boaz Cohen,Haim Ata Ohev Oti
Ha'im Ata Rotseh Oti,Line,2004,Tzlil Shuker,Haim Ata Rotseh Oti,Tzlil Shuker,Ha'im Ata Rotseh Oti
Ha'im Odech Yafa,Partner,1992,Eli Ronen,Haim Odech Yafa,Eli Ronen,Ha'im Odech Yafa
Ha'im Taskimi,Circle,2009,Eli Rachamim,Haim Taskimi,Eli Rachamim,Ha'im Taskimi
Ha'ir,Circle,2008,Mali Lipson; Moshe,Hair,Mali Lipson Moshe,Ha'ir
"Hair (Sear, Zumbai Adoma )",Line,1992,Yaron Medan,Hair Sear Zumbai Adoma ,Yaron Medan,"Hair (Sear, Zumbai Adoma )"
Ha'ir Be'afor,Circle,1968,Moshe Eskayo,Hair Beafor,Moshe Eskayo,"Ha'ir Be'afor (Circle, Moshe Eskayo)"
Ha'ir Be'afor,Circle,1970,Rivka Sturman,Hair Beafor,Rivka Sturman,"Ha'ir Be'afor (Circle, Rivka Sturman)"
Ha'ir Be'afor,Partner,1970,Dani Dassa,Hair Beafor,Dani Dassa,Ha'ir Be'afor (Partner)
Ha'ir Hazot (Ba'ir Hazot),Partner,2002,Amnon Amram,Hair Hazot Bair Hazot,Amnon Amram,Ha'ir Hazot (Ba'ir Hazot)
Ha'ish Hahu,Circle,2006,Kobi Michaeli; Gadi Bitton,Haish Hahu,Kobi Michaeli Gadi Bitton,Ha'ish Hahu
Haish Im Hakova,Circle,2011,Elad Shtamer,Haish Im Hakova,Elad Shtamer,Haish Im Hakova
Ha'isha Shel Chayay,Partner,2001,Shlomo Maman,Haisha Shel Chayay,Shlomo Maman,Ha'isha Shel Chayay
Haiyu Zmanim,Circle,2013,Eli Segal,Haiyu Zmanim,Eli Segal,Haiyu Zmanim
Hajiveret (Tsur Manati),Partner,1984,Yankale Levy,Hajiveret Tsur Manati,Yankale Levy,Hajiveret (Tsur Manati)
Hakanadi (Rikud Hakanadi),Partner,1973, ,Hakanadi Rikud Hakanadi, ,Hakanadi (Rikud Hakanadi)
Hakarmel Sheli,,2012,Moshe Telem,Hakarmel Sheli,Moshe Telem,Hakarmel Sheli
Hakatar Mibe'er Sheva,CircleKids,2017,Levi Bar Gil,Hakatar Mibeer Sheva,Levi Bar Gil,Hakatar Mibe'er Sheva
Hakatar Mibe'er Sheva (Hakatar),Circle,2004,Oren Ashkenazi,Hakatar Mibeer Sheva Hakatar,Oren Ashkenazi,Hakatar Mibe'er Sheva (Hakatar)
Hakayits Chalaf,Circle,1998,Nir Dor,Hakayits Chalaf,Nir Dor,Hakayits Chalaf
Hake'ev Haze,Partner,2015,Michael Barzelai,Hakeev Haze,Michael Barzelai,Hake'ev Haze
Hakerem,Circle,1998,Gadi Bitton,Hakerem,Gadi Bitton,Hakerem (Circle)
Hakerem,Partner,1981,Shaul Malkiel,Hakerem,Shaul Malkiel,Hakerem (Partner)
Haketsev Shel Chayay (At Haketsev Shel Chayay),Partner,1994,Meir Shem Tov,Haketsev Shel Chayay At Haketsev Shel Chayay,Meir Shem Tov,Haketsev Shel Chayay (At Haketsev Shel Chayay)
Hakinah,Circle,1998,Raanan Mor,Hakinah,Raanan Mor,Hakinah
Hakinor,Circle,2008,Mona Goldstein,Hakinor,Mona Goldstein,Hakinor
Hakinor Hane'eman,Circle,1987,Roni Siman Tov,Hakinor Haneeman,Roni Siman Tov,Hakinor Hane'eman
Hakivsa Halevana,Circle,2017,Ilai Szpiezak,Hakivsa Halevana,Ilai Szpiezak,Hakivsa Halevana
Haklezmerim Bitsfat,Circle,1992,Marco Ben Shimon,Haklezmerim Bitsfat,Marco Ben Shimon,Haklezmerim Bitsfat
Hakna'anit,Circle,1999,Shlomo Maman,Haknaanit,Shlomo Maman,Hakna'anit
Hakoach Be'ahavatech,Partner,2006,Avi Levy,Hakoach Beahavatech,Avi Levy,Hakoach Be'ahavatech
Hakoach Shebalev,Circle,2011,Rafi Ziv,Hakoach Shebalev,Rafi Ziv,Hakoach Shebalev
Hakochav (Saper Li Kochav),Circle,1986,Uri Grafit,Hakochav Saper Li Kochav,Uri Grafit,Hakochav (Saper Li Kochav)
Hakochav Migush Dan,Circle,2019,Israel Shabtai,Hakochav Migush Dan,Israel Shabtai,Hakochav Migush Dan
Hakochav Sheli,Partner,2007,Dudu Barzilay,Hakochav Sheli,Dudu Barzilay,Hakochav Sheli
Hakol Ad Kan,Partner,2019,Shlomo Maman,Hakol Ad Kan,Shlomo Maman,Hakol Ad Kan
Hakol Be'ahava,Partner,2005,Avi Levy,Hakol Beahava,Avi Levy,Hakol Be'ahava
