type,choreographer,label
C,Shmulik Gov Ari,El Hamayim
C,Bentzi Tiram,El Hanachal (Bentzi Tiram)
C,Eli Ronen,El Hanachal (Eli Ronen)
P,"Avi Levy, Gadi Bitton",El Haolam Shelach
C,Israel Shiker,"El Ha'or (C, Israel Shiker)"
C,Dudu Barzilay,"El Ha'or (C, Dudu Barzilay)"
,Shlomo Bachar,El Ha'or ()
C,Hagai Ramati,El Hapeleg
,Dvora Lapson,El Hasadeh
C,Shimshon Weinstein,El Hayam
C,Eli Ronen,El Hazemer
L,Nona Malki,El Metador
P,Bentzi Tiram,El Midbari
C,Gila Solomon,El Mistater
C,Nurit Melamed,El Toch Halev Shelach
C,Mitch Ginsburgh,El Yishmereini
P,Shlomo Maman,El'ad Yarad El Hayarden
C,Oren Ashkenazi,Elaich Ba
C,Dudu Barzilay,Elat Ha'ahava (Ella)
C,Moshiko Halevy,Elay
P,Nir Dor,Elayich (Nir Dor)
P,Dudu Barzilay,Elayich (Dudu Barzilay)
P,Avi Perez,Elayich Hatama
C,Rafi Ziv,Elayich Moledet (Hasiri Tsel)
C,Avi Perez,Elayich Tfilati
P,Yom Tov Ochayon,Elayich Umimech
P,Yaron Ben Simhon,Elech Itach (Kmo Tsipor)
L, ,Electric Slide
c,Elad Shtamer,Elef Dinar
C,Moti Ben Ya'akov,Elef Dor
C,Moshiko Halevy,Elef Laila
P,Israel Shiker,Elef Laila Velaila
C,Tamir David,Elef Layla Velayla
C,Yoram Sasson,Elef Mechazrim
C,Shlomo Bachar,Elef Neshikot (C)
P,Shalom Amar,"Elef Neshikot (P, Shalom Amar)"
P,Maurice Perez,"Elef Neshikot (P, Maurice Perez)"
C,Sophie Sumner,Elef Peamim
C,Bentzi Tiram,Elef Shir
PL,Meir Shem Tov,Elef Yadayim
C,Eyal Bar Kayma (Eyal Levy),Eleh Chamda Libi (Eyal Bar Kayma (Eyal Levy))
C,Shlomo Bachar,Eleh Chamda Libi (Shlomo Bachar)
C,Raaya Spivak,Eleh Chamda Libi (Raaya Spivak)
P,"Mali Lipson, Moshe",Eleh Hachayim
C,Elad Shtamer,Elem Chamudot (C)
P,Chayim Ochayon,Elem Chamudot (P)
C,Avner Naim,Elem Chen
PW,Gadi Bitton,Elem Ve'alma - Wh.Chair
P,Gadi Bitton,Elem Ve'alma (Manginat Hatsoani)
P,Yonatan Karmon,Elem Vesusato (Haelem Vesusato)
C,Raaya Spivak,Elem Zaken Vana'ar
L,Dede Luski,Eli Eli (Eligibor)
C,"Yehuda Lorlin, Lorlin",Eli Shebashamayim
c,Yair Harel,Eli Sheli
P,Moshiko Halevy,Eli Ya
C,Yoram Sasson,Eliezer Ben Yehuda
C,Marco Ben Shimon,Elilat Ha'agam (Marco Ben Shimon)
C,Yaron Ben Simhon,Elilat Ha'agam (Yaron Ben Simhon)
P,"Mishel Cohen, Gil",Elinor
L,Moshe Avisar,Eliran
C,Michael Barzelai,Eliya
C,Moshiko Halevy,Eliyahu Eli Ya
C,Eliyahu Gamliel,Eliyahu Hanavi
P,Naftaly Kadosh,Ella
P,Naftaly Kadosh,Ella Ella
PW,Naftaly Kadosh,Ella Ella - Wh.Chair
C,Rafi Ziv,Elohai (C)
P,Ilan Benedict,Elohai (P)
C,Nurit Melamed,Elohai Ad Matai
C,Nurit Melamed,Elohai She'Ba'Shameim
P,Sefi Aviv,Elohey Tsion (Rak Eleicha Elohai)
C,Oren Shmuel,Elohim Natan Lecha (Oren Shmuel)
C,Shirley Smith,Elohim Natan Lecha (Shirley Smith)
C,Victor Gabbay,Elohim Shebashamayim
C,Shmulik Gov Ari,Elohim Ta'aseh Shenigdal
U, ,Elohim Ten Li Koach
C,Elad Shtamer,Elokim Shebashamaiym
C,Israel Shiker,Em Achat Erets Achat
C,Eli Ronen,Emanuel
c,Chen Shporen,Emek Dotan
C,Bentzi Tiram,"Emek Haprachim (C, Bentzi Tiram)"
C,Yosef Mehaleil,"Emek Haprachim (C, Yosef Mehaleil)"
P,Maurice Perez,Emek Haprachim (P)
P,Bentzi Tiram,Emek Sheli
P,Shlomo Maman,Emet Achat
C,Avi Levy,Emtsa Halaila Bakfar
C,Nurit Melamed,Emtsa September
C,Dov Orbach,Emtsa Shum Makom
C,Shmulik Gov Ari,"Emuna (C, Shmulik Gov Ari)"
C,Orly Goldshtein,"Emuna (C, Orly Goldshtein)"
P,Shlomo Maman,Emuna (P)
L,Shauli Rosenfeld,En De Troua - Hamesiba
C,"Dudu Barzilay, Moti Menahem",Enatsel (Anatsel)
P,Yaron Elfasy,Enayim Mul Enayim
C,Shmulik Gov Ari,Enchat Ha'adamah
C,Shmulik Gov Ari,Enecha
C,Roberto Haddon,Enigma
L,Gideon Dan,Equador
C,Eyal Bar Kayma (Eyal Levy),Erets Achat
C,Yuval Ma'ayan,Erets Acheret
C,Motti Elfasy,Erets Ahuva (Motti Elfasy)
C,Shlomo Bachar,Erets Ahuva (Shlomo Bachar)
C,Roni Siman Tov,Erets Ahuva (Roni Siman Tov)
C,Moshiko Halevy,Erets Ahuva (Moshiko Halevy)
C,Gadi Bitton,Erets Avuda
P,Avi Perez,Erets Bereshit
PW,Avi Perez,Erets Bereshit - Wh.Chair
P,Gadi Bitton,Erets Chadashah
C,"Yankale Levy, Shlomo Bachar",Erets Erets (Erets)
C,Avi Perez,Erets Esh Ve'erets Yam
C,Shlomo Maman,Erets Gagu'a
C,Avi Perez,Erets Hachidot
C,Shmulik Gov Ari,Erets Hatsabar
C,Shmulik Gov Ari,Erets Israel
C,Yankale Levy,Erets Israel Yafah (C)
P,Yo'av Ashriel,Erets Israel Yafah (P)
C,Yehuda Emanuel,Erets Lanu
C,Eli Ronen,Erets Lev
L,Meir Shem Tov,Erets Lo Mayim (Lech Lamidbar)
C,Shlomo Maman,Erets Mechora
C,Gadi Bitton,Erets Meusheret
C,Shlomo Maman,Erets Mezameret
c,Shlomo Maman,Erets Moledet Erets Bo'eret
P,Yaron Malihi,Erets Muvtachat
C,Moti Menachem,Erets Nehederet (Moti Menachem)
C,Avner Naim,Erets Nehederet (Avner Naim)
C,Ya'ir Harel,Erets Shel Prachim
C,Ya'ir Harel,Erets Shivat Haminim
P,Yo'av Ashriel,Erets Tropit Yafa (Yeash Li)
C,Eliyahu Gamliel,"Erets Zavat Chalav (C, Eliyahu Gamliel)"
C,Dani Dassa,"Erets Zavat Chalav (C, Dani Dassa)"
,Yo'av Ashriel,Erets Zavat Chalav ()
C,Yuval Tabashi-Osnat Sandrosi,Eretz Ktana
C,Rivka Sturman,Erev Ba (Rivka Sturman)
C,Yo'av Ashriel,Erev Ba (Yo'av Ashriel)
P,Goel Kamri,Erev Bachermon
P,Shmulik Gov Ari,Erev Bli Telefon
C,Ohad Atia,Erev Chag
C,Shlomo Bachar,Erev Erev (Zug O Peret) (Shlomo Bachar)
C,Israel Shiker,Erev Erev (Zug O Peret) (Israel Shiker)
C,Shmulik Gov Ari,Erev Hachag (Chozeret ErevHachag)
P,Eyal Bar Kayma (Eyal Levy),Erev Kachol Amok (Eyal Bar Kayma (Eyal Levy))
P,Dede Luski,Erev Kachol Amok (Dede Luski)
P,Sefi Aviv,Erev Ka'its Veyonim (Sefi Aviv)
P,"Mali Lipson, Moshe","Erev Ka'its Veyonim (Mali Lipson, Moshe)"
P,Shlomo Maman,Erev Kaitz Cham
P,Shlomo Maman,Erev Mul Hagilad
P,Itzik Sa'ada,Erev Mul Kochav (Kochavim Lo Meshakrim)
P,Chayim Shiryon,Erev Nigunim
P,Yankale Levy,Erev Rad Al Kfar
C,Shmulik Gov Ari,Erev Shabbat (Shmulik Gov Ari)
C,Avner Naim,Erev Shabbat (Avner Naim)
P,Tzvi Fridhaber,Erev Shach (Tzvi Fridhaber)
P,Rivka Sturman,Erev Shach (Rivka Sturman)
P,Bentzi Tiram,Erev Shach (Bentzi Tiram)
P,Tzvi Hillman,Erev Shach (Tzvi Hillman)
P,Shlomo Maman,Erev Shach (Shlomo Maman)
L,Raaya Spivak,"Erev Shel Shoshanim (Yarus) (L, Raaya Spivak)"
L,Shlomo Bachar,"Erev Shel Shoshanim (Yarus) (L, Shlomo Bachar)"
P,Tzvi Hillman,"Erev Shel Shoshanim (Yarus) (P, Tzvi Hillman)"
P,Dani Dassa,"Erev Shel Shoshanim (Yarus) (P, Dani Dassa)"
P,Eliyahu Gamliel,"Erev Shel Shoshanim (Yarus) (P, Eliyahu Gamliel)"
P,Se'adia Amishai,Erev Shuk
C,Amnon Sha'uli,Erev Tov
C,Nourit Grinfeld,Erev Yom Shishi (Rikud Shabat)
P,Aiyala Bumshtein,Erkod Lema'anech
C,Shmulik Gov Ari,Esa Einai (Shmulik Gov Ari)
C,Ira Weisburd,Esa Einai (Ira Weisburd)
P,"Victor Gabbay, Ma'or Gabbay",Esa Otach (Osa Otach)
C,Shmulik Gov Ari,Esev Bar (Ma'agal)
C,Gadi Bitton,Esh (C)
P,"Naftaly Kadosh, Eitan Aloush",Esh (P)
C,Dani Dassa,Esh Ali
C,Shmulik Gov Ari,Esh Be'enayich
P,Israel Shiker,Esh Bi Yokedet
P,David Ben Naim,Esh Boeret (Ahavat Hayay)
Lk,Levy Bargil-Chana Nitzan,Esh Esh Al Kol Tel
P,Chayim Shiryon,Esh Ha'ahava
C,Sefi Aviv,Esh Hachayim
C,Bentzi Tiram,Esh Vazemer
C,Karina Lambert,Eshal
C,Moshiko Halevy,Eshal Elohai (Moshiko Halevy)
C,Shlomo Bachar,Eshal Elohai (Shlomo Bachar)
P,Shimon Shuker,Eshalech
C,Beber Shushan,Eshebo
C,"Avi Perez, Victor Gabbay","Eshet Chayil (C, Avi Perez, Victor Gabbay)"
C,Sara Kletter,"Eshet Chayil (C, Sara Kletter)"
C,Chagit Fuchs,"Eshet Chayil (C, Chagit Fuchs)"
P,Moshiko Halevy,"Eshet Chayil (P, Moshiko Halevy)"
P,Israel Shiker,"Eshet Chayil (P, Israel Shiker)"
P,Eli Segal,Eshet Chayil Sheli
C,Meir Amsalam,Eshet Lot
P,David Edery,Eshkolit (P)
,Ze'ev Chavatzelet,"Eshkolit (, Ze'ev Chavatzelet)"
,Sefi Aviv,"Eshkolit (, Sefi Aviv)"
,Peri Shachaf,"Eshkolit (, Peri Shachaf)"
P,Se'adia Amishai,Eshmera Shabbat (Shir Shabbat)
P,Yuval Ma'ayan,Eshmor Alaeich
P,Israel Shiker,Espaniola
P,Chayim Ochayon,Espera (La Nave Del Olvido ) (Chayim Ochayon)
P,Chayim Ochayon,Espera (La Nave Del Olvido ) (Chayim Ochayon)
P,Rafi Ziv,Esperanza
C,Shlomo Maman,Essof Et Hama'asim
P,Yaron Malihi,Estader Levad
C,Moshiko Halevy,Et Ashir
P,Moshe Telem,Et Dodim
C,Pierre Hassoun,Et Dodim Kala (C)
P,Moshiko Halevy,Et Dodim Kala (P)
C,Mitch Ginsburgh,Et Dodim Kala Fantasy
C,Meir Shem Tov,Et Eshan
C,Eli Ronen,Et Hageshem (Anachnu Lo Tsrichim)
P,David HaRe'uveni,Et Halaila Shelach
C,Sara Kletter,Et Kol Hakochavim
, ,Et Lintoa
C,Elad Shtamer,Et Lirkod
P,Eli Segal,Et Mi At Ohevet
P,Se'adia Amishai,Et Ratson
P,Dudu Barzilay,Et She'ahava Nafshi
C,Shmulik Gov Ari,Et Ya'ale Yareach
C,Yankale Levy,Eten Bamidbar (Yankale Levy)
C,Rivka Sturman,Eten Bamidbar (Rivka Sturman)
P,Yom Tov Ochayon,Eten Hakol Bishvilech (Hakol Bishvilech)
P,Rafi Ziv,Eten Lach Shanim
C,Moshiko Halevy,Etgar
P,Victor Gabbay,Etmol
C,Tamir Scherzer,Ets Alon
C,Moshe Eskayo,Ets Chayim Hee
C,Eli Ronen,Ets Hakochavim
C,Nona Malki,Ets Hamishalot
C,Folk,Ets Harimon (C)
P,Gurit Kadman,"Ets Harimon (P, Gurit Kadman)"
P,Moshe Eskayo,"Ets Harimon (P, Moshe Eskayo)"
C,Bentzi Tiram,Ets Hashikma
P,Avner Naim,Ets Hatapu'ach
C,Moti Ben Ya'akov,Ets Hazayit (Moti Ben Ya'akov)
C,Shmulik Gov Ari,Ets Hazayit (Shmulik Gov Ari)
c,Shlomo Maman,Ets Shatul Al Mayim
,Avi Perez,Ets Zaken Ba'arava
P,Gadi Bitton,Etsbeot Shokolad
C,Gadi Bitton,Etse Li Hachuka
LK,Chen Shporen,Etse Li Hashuka (Chen Shporen)
LK,Levi Bar Gil,Etse Li HaShuka (Levi Bar Gil)
P,Shiran Barazani,Etslech Baolam
P,Victor Gabbay,Etslech Kmo Tamid
C,Peri Shachaf,Etsleinu Bachatser (Orchim Lakayits)
P,Yo'av Ashriel,Etsleinu Ba'emek
C,Nadav Natan,Etslenu Bagan
C,Shlomo Maman,Etslenu Bashchuna
P,Naftaly Kadosh,Etsli Hakol Beseder
C,Yoram Sasson,Eved Avraham
C,Michael Barzelai-Ilai Szpiezak,Even Al Even
L,Eyal Malach,Everybody (Eyal Malach)
L,Lital Luski,Everybody (Lital Luski)
L,Levi Bargil,Everybody (Levi Bargil)
P,Rivka Sturman,Ey Hatal
C,Eyal Bar Kayma (Eyal Levy),Ey Sham
C,Moshe Cafri,Ey Sham Babikah (Moshe Cafri)
C,Gert-Jan Van Ammerkate,Ey Sham Babikah (Gert-Jan Van Ammerkate)
C,Ma'or Gabbay,Ey Sham Balev
L,Fred Berk,Ez Vakeves (L)
P,Yo'av Ashriel,Ez Vakeves (P)
C,Chayim Tzemach,Ezkor Et Haderech
p,Yair Harel-Maurice Peretz,Ezrach Barchov
L,Hadar Jibli,Faith
L,Thomas Call,Fake ID
P,Yehuda Emanuel,Falafel (Shir Hafalafel)
L,Clear Mind Inc.,Fame (Clear Mind Inc.)
L,Chen Shporen,Fame (Chen Shporen)
C,Netanel Shimoni,Fanan
P,Tuvia Tishler,Fantasia
C,Oren Shmuel,Farahtini (Parachtani)
C,Shmulik Gov Ari,Farcha
C,Yaron Malihi,Farha Farha
C,Tibi,Fasulya
P,Ilai Szpiezak-Orly Star,Fata Morgana
L,Nir Dor,FBI
L,"Ilai Szpiezak, Sophie Sumner",Feel the Magic
L,Yaron Elfasy,Feels Like Home
L,Folk,Fever (You Give Me Fever)
P,Elad Shtamer,Fiesta
L,Yaron Medan,Finally
,Florence Freehof,Finjan
L,Orly Shemesh,Fireball
L,Gideon Dan,First Be A Woman
P,Mitch Ginsburgh,Fiszer
C,Connie L. Katz,Flash Gordon
C,Lior Cohen,Florantin
L,Hadar Jibli,Follow
L,Gayle Brandon,Footloose (Slapping Leather)
LK,Revital Golan,Freestyle Festival
,Ya'ir Ankri,Frelach Shell Tras
L,Orpaz Porgas,Fresh
C,Fred Berk,Freylach (Fred Berk)
C,Shmulik Gov Ari,Freylach (Shmulik Gov Ari)
C,Barry Avidan,Freylach (Barry Avidan)
L,"Roni, Ilana",Friends
L,Bar Mizrachi,Fuego
C,Yuval Tabashi,Fuga Ktana
L,Ira Weisburd,Funny Face
C,Moshiko Halevy,Fusae Ko
C,Dudu Barzilay,Ga'agu'a
C,Michael Barzelai,Ga'agu'a Baru'ach
C,Shlomo Maman,Ga'agu'a Insofi
C,"Ilai Szpiezak, Yuval Tabashi",Ga'agu'ai (C)
P,Nona Malki,Ga'agu'ai (P)
P,Shmulik Gov Ari,Ga'agu'ai Lega'agu'im
P,Se'adia Amishai,Ga'agu'ay Chalom
C,Gert-Jan Van Ammerkate,"Ga'aguim (C, Gert-Jan Van Ammerkate)"
C,Moshiko Halevy,"Ga'aguim (C, Moshiko Halevy)"
PM,Moshiko Halevy,Ga'aguim (PM)
,Farida Gutvich,Ga'aguim ()
P,Shlomo Maman,Ga'aguim Baneshama (Ish Lo Yireh Oti Bocha)
C,Tamir Shalev,Ga'aguim Ladimiyon
C,Yankale Ziv,Ga'agu'im Le'Aba
P,Ya'ir Harel,Ga'aguim Le'Paris
C,Shlomo Bachar,Ga'aguim L'Shoshana
P,Yankale Ziv,Gachliliyot
C,Sara Kletter,Gadol Hashem
C,Israel Yakovee,Galbi
C,Meir Ovadya,Galby
C,Moshiko Halevy,Galei Hamizrach
C,Israel Shiker,Galgal Hamazal
C,Israel Shiker,Galgal Hamazal (Galgal Anak)
C,Tamir Shalev,Galgal Mistovev
P,"Shimon Shuker, Tzlil Shuker",Galgalei Hashanim
C,Dudu Barzilay,Galgalim
C,Rafi Ziv,Galim
C,Avi Perez,Galim Galim (Vehu Yoshieni)
C,Avi Perez,Galut Teiman
P,Itzik Ben Dahan,Gam Ani
C,Michael Barzelai,Gam Ani (Lochem)
C,Avi Levy,Gam Ani Ben Adam
C,Rafi Ziv,Gam Ani Rotseh (Ani Rotseh Gam)
P,Reuben Partock,Gam Balaila
C,Barry Avidan,"Gam Balaila, Gam Bayom"
L,Yaron Elfasy,Gam Gam
C,Nurit Melamed,Gam Ki Elech
C,Moshiko Halevy,Gam Li El
P,Ya'ir Harel,Gamba
C,Moshiko Halevy,Gamla
P,Gila Paz,Gan Chorpi
P,Naftaly Kadosh,Gan Eden
C,Yaron Malihi,Gan Eden Russi
P,Adi Atiram,Gan Eden Shel Ahava
C,Moshe Telem,Gan Ha'eden (Gan Eden)
C,Shlomo Maman,Gan Ha'eden Ha'asur (Nachash Ha'ir)
P,Marco Ben Shimon,Gan Hashikmim
PW,Marco Ben Shimon,Gan Hashikmim - Wh.Chair
C,Israel Shiker,Gan Hastav
C,Israel Shabtai,Gan Naul (C)
P,David Paletz,"Gan Naul (P, David Paletz)"
P,Barry Avidan,"Gan Naul (P, Barry Avidan)"
P,Avi Perez,Gan Naul (Ahava Gan Naul Hi)
L,Robin Starr,Gan Sagur
C,Yaron Elfasy,Gan Shel Shoshanim
C,Ohad Atia,Ganav
P,Didi Dosh,Ganenu
L,Meir Shem Tov,Gangnam Style
P,Shmulik Gov Ari,Gara Mul Hamayim
C,Nurit Melamed,Garsonah
C,Ira Weisburd,Garzona
L,Ronit Fuks,Gavoha
P,Michal Shami,Gavriel
C,Gadi Bitton,Geshem Ahavah
P,Elad Shtamer,Geshem Al Hamayim
C,Shmulik Gov Ari,Geshem Al Panai
CK,Adi Atiram,Geshem Bemay (CK)
P,Avi Amsalam,Geshem Bemay (P)
C,Itzik Sa'ada,Geshem Bo
P,Maurice Perez,Geshem Sheyavo
C,Arthur Hammer,Geshem Yored (C)
P,Eli Ronen,Geshem Yored (P)
C,Shlomo Maman,Gesher Tsar Meod
L,Yaron Medan,Get Funky
L,Frederic Lerouge,Get Lucky
C,Rafi Ziv,Geula
C,"Oren Ashkenazi, Eli Segal",Ge'ula
P,Yankale Levy,Geulim (Esheal Elohay)
L,Yehudit Shushan,Gever Lalaila (A Man After Midnight)
P,Nona Malki,Gever Le'enyan
P,Avi Perez,Gever Meshuchrar
C,Yaron Malihi,Gever Mishtageah
C,Beber Shushan,Geveret Megunderet
C,Eli Rachamim,Gibor
C,Nir Dan,Gibor Hamidbar
C,Israel Shiker,Gibor Shel Ahava
C,"Avi Levy, Dudu Barzilay",Gibor Shel Ima (Go'el Shel Ima)
C,Oren Bachar,Gigolo
C,Yo'av Ashriel,Gilu Hagalilim
P,Ya'ir Menashe,Gitarah Kilvavi (Kochvei Laila)
C,Rafi Ziv,Givah Achat
C,Shlomi Ochayon,Givat Chalfon
C,Moshe Telem,Givat Hakurkar
L,"Avi Levy, Gadi Bitton",Go Go Go (The Cup of Life)
C,Tamir Shalev,Goblin
C,Tamir Scherzer-Gadi Bitton,Goca Dunya
P,Yo'av Ashriel,Gogli Gogli
L,Menahem Menachem,Going Down To Cairo
C,Yehuda Emanuel,Golani Sheli (Yehuda Emanuel)
C,Gadi Bitton,Golani Sheli (Gadi Bitton)
L,Gadi Bitton,Golden Boy (L)
LK,Levi Bargil,Golden Boy (LK)
C,Nurit Melamed,Gole Sangam
C,Sagi Azran,Goleh Gandom - Perach Hachita
L,Dede Luski,Gonev Halevavot (Thief ofHearts)
C,Shmulik Gov Ari,Goral Echad
P,Pioneer,Gordonia
C,Rivka Sturman,Goren (Hagoren)
P,Yonatan Karmon,Gozi Li
L,"Yaron Medan, Dede Luski",Grease (You're the one that I want)
P,Gila Paz,Greenfields
L,Levi Bargil,Guns (Gangsters) Paradise
C,Shlomo Maman,Gvanim
P,Eran Bitton,Gvulot Higayon
P,Ofer Yehosua,Ha’olam Hametukan
P,Naftaly Kadosh,Ha'achat
P,Itzik Ben Dahan,Ha'achat Mibein Kulan
C,Avi Perez,Ha'agurim
P,Yossi Azani,Ha'ahat sheli
C,Rafi Ziv,Ha'ahava Ha'atsuva Hake’uva
P,Gadi Bitton,Ha'ahava Hayeshana (Gadi Bitton)
P,Roni Siman Tov,Ha'ahava Hayeshana (Roni Siman Tov)
P,Yaron Carmel-Gadi Bitton,Ha'ahava Hayeshana Sheli
C,Amnon Amram,Ha'ahava Hi Elohit
P,Gadi Bitton,Ha'ahava Sheli
P,Raanan Mor,Ha'ahava Shelo Zoat Lo Hahava Sheli
P,Ayelet Bukai,Ha'ahavot Hayeshanot
P,Shlomo Maman,Ha'alma
P,Sefi Aviv,Ha'alma (Hayo Hayta Alma)
C,Moshe Tawily,Ha'amini Yom Yavo (Moshe Tawily)
C,Yoni Carr,Ha'amini Yom Yavo (Yoni Carr)
C,Oren Shmuel,Ha'amiti
C,Boaz Cohen,Ha'arets Hamuvtachat
L,Unknown,Ha'arpad (Danca Do Vampiro)
C,Amnon Amram,Ha'asir
P,Itzik Sa'ada,Ha'aviv
C,Matti Goldschmidt,Ha'aviv Tsochek (Aviv Tsochek)
P,Barry Avidan,Ha'ayara
C,Victor Gabbay,Ha'ayara Shel Tuvia
C,Kobi Michaeli,Ha'ayara Sheli
C,Meir Shem Tov,Haba'al Shem Tov
C,Dudu Barzilay,Habachur Habaishan (Bachur Baishan)
C,Ilan Swisa,Habaita
C,Gadi Bitton,Habaita Haloch Chazor
P,Naftaly Kadosh,Habaita Lachazor
C,Tuvia Tishler,Habalada Al Yoel Moshe Solomon
C,Rafi Ziv,Habat Shel Hashchena
C,Shmulik Gov Ari,Habatim Shenigmeru Leyad
C,Nir Dor,Haben Yakir Li
P,Itzik Sa'ada,Habet Bi Ahuvi
C,Rafi Ziv,Habib Galbi
L,Dede Luski,Habibi Ya Le Le
L,Yaron Medan,Habilbul (L)
P,"Beber Shushan, Yuhudit Shushan",Habilbul (P)
P,Chayim Shiryon,Habiti Mi Chazar
P,Chayim Vaknin,Haboker (Haboker at Holechet)
C,Danielle Shkop,Haboker Ya'ale
L,Shlomi Nagarin,Habozuki
, ,Hach Baregel
LK,Levi Bar Gil,Hachagiga Nigmeret
,Victor Gabbay,Hachalom Sheli
P,Nona Malki,Ha'Chamtsan Sheli (Chamtsan)
C,Or Balelilti,Hachan Shel Otman
P,Roni Siman Tov,Hachaticha Merechov Panorama (Rechov Panorama)
C,Yehuda Emanuel,Hachatuna (C)
P,Yankale Levy,Hachatuna (P)
C,Rivka Sturman,Hachayal Sheli Chazar
C,Ohad Atia,Hachayim
C,Avi Perez,"Hachayim Ha'acherim (C, Avi Perez)"
C,Shmulik Gov Ari,"Hachayim Ha'acherim (C, Shmulik Gov Ari)"
P,Yardena Leib,Hachayim Ha'acherim (P)
C,Israel Shiker,Hachayim Hayafim
P,Avi Amsalam,Hachayim Hem Rikud
C,Yankale Ziv,Hachayim Lakchu Oti
,Gadi Bitton,Hachayim Shelanu Tutim
C,Rafi Ziv,Hachayim Yafim (Rafi Ziv)
C,Ilan Benedict,Hachayim Yafim (Ilan Benedict)
C,Gadi Bitton,Hachevrah Lehaganat Hateva
L,Yaron Elfasy,Hachi Israeli
P,Gadi Bitton,Hachi Karov
C,"Andre Schor, Arthur Lerer",Hachi Karov Elayich
P,Yaron Malihi,Hachi Rachok
P,Rafi Ziv,Hachi Tova Ba'olam
P,Yaron Ben Simhon,Hachi Yafa
P,David Edery,Hachinanit (David Edery)
P,Yankale Levy,Hachinanit (Yankale Levy)
P,Pnina Dickman,Hachita Tsomachat Shuv
C,Boaz Cohen,Hachiyuch Shebeinayich
U, ,Hachlafot
C,Itzchak Atira,Hachnisini Tachat Knafech (C)
P,Motti Elfasy,"Hachnisini Tachat Knafech (P, Motti Elfasy)"
P,Gadi Bitton,"Hachnisini Tachat Knafech (P, Gadi Bitton)"
C,Gadi Bitton,Hachol Yizkor (Machol Yizkor)
P,Israel Shiker,Hacholmim Achar Hashemesh
C,Gadi Bitton,Hachoref Male Ga'aguim
P,Shlomo Maman,Haci Bari
C, ,Haci Karov
C,Israel Yakovee,Hada Lack Ya Binti
C,Chagit Fuchs,Hadar
C,Shlomo Bachar,Hadarim (C)
P,Bentzi Tiram,Hadarim (P)
P,Shmulik Gov Ari,Hadassah Esther
P,Avi Perez,Hadavar Ha'amiti
L,Elad Shtamer,Hadavar Haba
P,Yaron Meishar,Hadayag
C,Shmulik Gov Ari,Hadegel Sheli
C,Dudu Barzilay,Haderech Aruka (C)
P,Rivka Sturman,Haderech Aruka (P)
C,David Ben David,Haderech El Hakfar (Baderech El Hakfar)
C,Edo Israely,Haderech Habaita
U, ,Haderech Habrucha
C,Avner Naim,Haderech Hatovah (Nigudim)
P,Avner Naim,Haderech Le'ey Sham
P,Israel Shiker,Haderech Lelibech
C,Nir Dor,Haderech Mitmashechet
C,Avi Palvari,Haderech Shelcha
P,Rafi Ziv,Hadimyon Sheli
P,Avi Perez,Hadmaot Shebe'enaich
P,Meir Shem Tov,Hadoda Vehadod (Etsel Hadoda Vehadod)
C,Shlomo Maman,Hadorchim Baga'at
C,Shmulik Gov Ari,Hadrat Chatanim
P,Yankale Levy,Hadudaim
C,Moshiko Halevy,Haduni
C,Gadi Bitton,Hadvarim Hachi Pshutim
C,Oren Shmuel,Hadwaja (Chadoza)
P,Nona Malki,Ha'elim Hachadashim
C,David Edery,Ha'emek Hu Chalom (David Edery)
C,Moshiko Halevy,Ha'emek Hu Chalom (Moshiko Halevy)
C,Bentzi Tiram,Ha'ets Ha'atik
C,Tuvia Tishler,Ha'ets Hu Gavoha
L,Shalom Amar,Hafanana
L,Orly Setareh,Hafinali (Orly Setareh)
L,Chanan Cohen,Hafinali (Chanan Cohen)
C,Shlomo Bachar,Hafinjan (C)
,Yo'av Ashriel,Hafinjan ()
C,Maurice Perez,Hafla
C,Barry Avidan,Hafla Parsit
C,Ohad Atia,Hafuch
C,Eyal Ozeri,Hafuch Mehayekum
L,DJ Niedober,Hafuchim
P,"Roi Fridman, Rinat Rozen",Hagadol Haze
C,Levi Bargil,Hagalshan
P,Marco Ben Shimon,Hagan Ha'Biladi
P,Eliyahu Gamliel,Hagashashim
P,Danny Hayman,Hagavi'a
C,Uri Grafit,Hageshem
P,Avi Perez,Hageshem Be'eynayich
P,Ya'ir Menashe,Hageshem Metofet
C,Moshiko Halevy,Hageula
P,Moshe Avisar,Hagitara
C,Bentzi Tiram,Hagivah Porachat
C,Gertrud Kraus,Hagolah Hashkula
P,Gadi Bitton,Hagshama Atsmit
C,Yaakov Mariyoma,Hagvaot Hakchulot (C)
P,Itzik Sa'ada,Hagvaot Hakchulot (P)
C,Shlomo Maman,Hagvarim Bochim Balaila
C,Roberto Haddon,Hagvul Hu Hashamayim
C,Bentzi Tiram,Hahar Hayarok
P,Naftaly Kadosh,Hahatsaga Nigmeret
C,Moshiko Halevy,Hahelech
P,"Mali Lipson, Moshe",Hahilula Matchila
C,Ya'ir Menashe,Hahipochonder
C,Robin Starr,Hahora Habilti Tsfuyah
C,Eli Ronen,Hahora Sheli
L,Shmulik Gov Ari,Hai Li
C,Moshiko Halevy,Haidel Haidel
C,Karina Lambert,Haifa
C,Adi Asulin,Ha'ikar Romantika (Ha'ikar Ze Haromantikah)
C,Oren Ashkenazi,Ha'ikar She'ani Shar
