type,choreographer,label
P,"Mali Lipson, Moshe",Ad Sof Ha'ahava
P,Yaron Ben Simhon,Ad Sof Hakayits
P,Gadi Bitton,Ad Sof Ha'olam
C,Naftaly Kadosh,Adaber Itcha
C,Eyal Bar Kayma (Eyal Levy),Adam
P,"Yoram Bargil, Dina Zaitman",Adam Acher
C,Nurit Melamed,Adam Le'adam
C,Eli Segal,Adam Nolad Sachkan
C,Eli Segal,Adam Tsover Zichronot
C,Yossi Rozilio,Adama
P,Yonatan Karmon,Adama Admati
P,Se'adia Amishai,Adama Admati (Al Givot Sheikh Abrek) (Se'adia Amishai)
P,Dani Dassa,Adama Admati (Al Givot Sheikh Abrek) (Dani Dassa)
C,Gadi Bitton,Adamah Veshamayim
P,Gabi Tiram,Adanim
C,Moshe Telem,Adaniya
P,Tamar Alyagor,Adarim
C,Shmulik Gov Ari,Adayim
C,Arthur Lerer,Adayin Achshav
P,Shlomo Maman,Adayin Kan
L,Carina Saslavsky,Adayn Po (Y Yo Sigo Aqui)
L,Karina Lambert,Addicted to You
C,Israel Shiker,Adif Ahava
P,Tzidki Arami,Adif Kevar Levad
P,Itzik Lezebnic,Adios Muchachos
C,Gadi Bitton,Adir Adirim
C,Yaron Ben Simhon,Admati
C,"Eli Segal, Sefi Aviv",Adon Hakol
C,Avner Naim,"Adon Haslichot (C, Avner Naim)"
C,"Bonny Piha, Yoram Sasson","Adon Haslichot (C, Bonny Piha, Yoram Sasson)"
P,Shlomo Bachar,Adon Haslichot (P)
, ,Adon Kimat Ugeveret Kevar (Balada Al Adon Kimat..)
C,Shlomo Maman,Adon Olam (Shlomo Maman)
C,Gadi Bitton,Adon Olam (Gadi Bitton)
P,Tuvia Tishler,Adoni HaShofet
C,Eli Ronen,Adraba
P,Eden Giliad Tzaidi,Af Achat (Eden Giliad Tzaidi)
P,Nourit Grinfeld-Eden Gilad Tzaidi,Af Achat (Nourit Grinfeld-Eden Gilad Tzaidi)
P,Rafi Ziv,Af Achat Acheret
P,Tamir Shalev,Af Echad
P,Victor Gabbay,Af Pa'am Lo Omer
P,Ofer Alfasi,Af Pa'am Lo Ted'i
C,Oren Ashkenazi,Af Pam Lo Levad
C,Moshe Cafri,Af Tsemach
C,Shmulik Gov Ari,Afa Al Kulam
C,Connie L. Katz,Afilu (cherev)
P,Yaron Ben Simhon,Afilu She'ahavti
P,Ran Hirsh,Afilu Shesreifot (Ran Hirsh)
P,Gadi Bitton,Afilu Shesreifot (Gadi Bitton)
C,Oren Bachar,Afim Alai
L,Fred Lerouge,Afous
P,Gadi Bitton,Afrita
L,"Oren Ashkenazi, Lena Ashkenazi",Afrokai
P,Adi Atiram,Agada
C,Itzik Lezebnic,Agada Avuda
C,Nir Dor,Agada Midbarit
C,Tuvia Tishler,Agada Midbarit Ksuma
C,Bonny Piha,Agadah Armenit
P,Israel Shabtai,Agadat Deshe
P,Marco Ben Shimon,Agadat Hamapuchit
P,Elad Perl,Agadat Hashemesh Vehayareach
C,Gadi Bitton,Agadat Hasultan
C,Oren Shmuel,Agadat Laila (Agada Leylit)
C,Shmulik Gov Ari,Agadat Shabazi
C,Israel Shiker,Agadat Shalom Shabazi
C,Israel Yakovee,Agadelcha
C,Avi Amsalam,Agala Retuma Lesusim
C,Ira Weisburd,Agan Hayam Hatichon
P,Shmulik Gov Ari,Agilei Damar
C,Ahmet Luleci,Agir Halay
C,Shmulik Gov Ari,"Ahalan Vesahalan (C, Shmulik Gov Ari)"
C,Yaron Malihi,"Ahalan Vesahalan (C, Yaron Malihi)"
LK,Levi Bargil,Ahalan Vesahalan (LK)
C,Marco Ben Shimon,Ahalel Lecha El
P,Moshe Eskayo,Ahava
P,Gadi Bitton,Ahava (Eifo At Ahavati)
P,Naftaly Kadosh,Ahava (Ha'ahava Einena Gara Kan Yoter)
C,Levi Bargil,Ahava Acheret
P,Naftaly Kadosh,Ahava Asura (Benativ Meurpal)
PW,Naftaly Kadosh,Ahava Asura-Wh.Chair
P,Eliyahu Gamliel,Ahava Atika
